timestamp,event_type,file,source
2026-02-22T08:35:11.801528Z,modified,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/suspicious.exe,host_os
2026-02-22T08:35:11.801528Z,created,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/suspicious.exe,host_os
2026-02-22T08:35:11.801528Z,birth,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/suspicious.exe,host_os
2026-02-22T08:35:13.358294Z,accessed,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/suspicious.exe,host_os
2026-02-22T09:25:54.622304Z,modified,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/security_events.log,host_os
2026-02-22T09:25:54.622379Z,created,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/security_events.log,host_os
2026-02-22T09:25:54.622379Z,birth,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/security_events.log,host_os
2026-02-22T09:43:46.200353Z,accessed,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/security_events.log,host_os
2026-02-22T09:43:53.993243Z,modified,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/invoice_malicious.pdf,host_os
2026-02-22T09:43:53.993243Z,created,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/invoice_malicious.pdf,host_os
2026-02-22T09:43:53.993243Z,birth,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/invoice_malicious.pdf,host_os
2026-02-22T09:43:53.993520Z,modified,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/ransomware_sample.exe,host_os
2026-02-22T09:43:53.993520Z,created,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/ransomware_sample.exe,host_os
2026-02-22T09:43:53.993520Z,birth,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/ransomware_sample.exe,host_os
2026-02-22T09:43:55.063146Z,accessed,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/invoice_malicious.pdf,host_os
2026-02-22T09:50:20.906724Z,accessed,/Users/kentohopkins/Documents/GitHub/HackUNCP2026/data/ransomware_sample.exe,host_os
